"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Type of user: Client","0","MW Menu: Design","14","0","Sub-menu: Widgets","0"
"0","Type of user: Client","0","MW Menu: Design","12","0","Sub-menu: New","0"
"0","Type of user: Client","0","MW Menu: Design","12","0","Sub-menu: Website","0"
"0","Type of user: Client","0","MW Menu: Design","10","0","Sub-menu: Page Templates","0"
"0","","0","","0","14","","0"
"0","Authentication","0","User Login","1","0","SuperUser Login and New Client Creation","0"
"0","Type of user: Client","0","MW Menu: Listings","2","0","Sub-menu: Supplemental","0"
"0","Type of user: Client","0","MW Menu: Account","4","0","Sub-menu: Contacts","0"
"0","Type of user: Super User","0","MW Menu: Clients","2","0","Sub-menu: Create Client","0"
"0","Type of user: Client","0","MW Menu: Leads","2","0","Sub-menu: Create","0"
"0","Type of user: Client","0","MW Menu: Design","13","0","Sub-menu: Settings","0"
"0","Type of user: Client","0","MW Menu: Design","13","0","Sub-menu: Global","0"
"0","Type of user: Client","0","MW Menu: Design","1","0","Sub-menu: Branding - Colors","0"
"0","Type of user: Super User","0","MW Menu: Agent/Office","4","0","Sub-menu: Agent/Office/Listing Search","0"
"0","Type of user: Super User","0","MW Menu: MLS","1","0","Sub-menu: Data","0"
"0","Type of user: Super User","0","MW Menu: MLS","1","0","Sub-menu: MLS Data Explorer","0"
"0","Type of user: Client","0","MW Menu: Design","2","0","Sub-menu: Saved Links","0"
"0","Authentication","0","User Login","1","0","Engage Client Login","0"
"0","Type of user: Client","0","MW Menu: Account","4","0","Sub-menu: Users","0"
"0","Type of user: Client","0","MW Menu: Account","4","0","Sub-menu: Agents","0"
"0","Authentication","0","User Login","1","0","Elite Client Login","0"
"0","Type of user: Client","0","MW Menu: Home","2","0","Sub-menu: Access Control","0"
"0","Type of user: Client","0","MW Menu: Account","2","0","Sub-menu: Upgrade","0"
"0","Authentication","0","User Login","1","0","New Client Login","0"
"0","Type of user: Client","0","MW Menu: Design","2","0","Sub-menu: Legacy","0"
