"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","User Signup: Hals-off signup - Accurate Setup Pricing Displayed","Chrome","Fri Mar 21 19:08:49 UTC 2025","skipped","Fri Mar 21 19:08:49 UTC 2025","Sign Up","","",""
"","4930","Delete All Contacts - User: Client-Platinum-1-Existing","Chrome","Fri Mar 21 19:08:08 UTC 2025","passed","Fri Mar 21 19:08:13 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Contacts","","",""
"","244","User Signup: Hals-off signup Completes Successfully","Chrome","Fri Mar 21 19:08:48 UTC 2025","skipped","Fri Mar 21 19:08:49 UTC 2025","Sign Up","","",""
"","274","User Signup: Developer partner code signup Completes Successfully","Chrome","Fri Mar 21 19:08:49 UTC 2025","skipped","Fri Mar 21 19:08:49 UTC 2025","Sign Up","","",""
"","308","User Signup: Regular signup Completes Successfully","Chrome","Fri Mar 21 19:08:47 UTC 2025","skipped","Fri Mar 21 19:08:47 UTC 2025","Sign Up","","",""
"","244","User Signup: Godaddy partner code signup Completes Successfully","Chrome","Fri Mar 21 19:08:50 UTC 2025","skipped","Fri Mar 21 19:08:50 UTC 2025","Sign Up","","",""
"","3621","Create Contact - User: Client-Elite-1-Existing","Chrome","Fri Mar 21 19:08:13 UTC 2025","passed","Fri Mar 21 19:08:16 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Contacts","","",""
"","231","User Signup: Free setup signup Completes Successfully","Chrome","Fri Mar 21 19:08:48 UTC 2025","skipped","Fri Mar 21 19:08:48 UTC 2025","Sign Up","","",""
"","298","User Signup: Godaddy partner code signup - Accurate Setup Pricing Displayed","Chrome","Fri Mar 21 19:08:50 UTC 2025","skipped","Fri Mar 21 19:08:50 UTC 2025","Sign Up","","",""
"","11419","Create Agent - User: Client-Elite-1-Existing","Chrome","Fri Mar 21 19:08:20 UTC 2025","passed","Fri Mar 21 19:08:31 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Users > Sub-menu: Agents","","",""
"","4307","Delete All Contacts - User: Client-Elite-1-Existing","Chrome","Fri Mar 21 19:08:16 UTC 2025","passed","Fri Mar 21 19:08:21 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Contacts","","",""
"","4770","Delete All Agents - User: Client-Platinum-1-Existing","Chrome","Fri Mar 21 19:08:15 UTC 2025","passed","Fri Mar 21 19:08:19 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Users > Sub-menu: Agents","","",""
"","21391","Create Saved Link - User: Client-Platinum-1-Existing","Chrome","Fri Mar 21 19:08:21 UTC 2025","passed","Fri Mar 21 19:08:42 UTC 2025","Type of user: Client > MW Menu: Design > Sub-menu: Website > Sub-menu: Saved Links","","",""
"","366","User Signup: Regular signup - Accurate Setup Pricing Displayed","Chrome","Fri Mar 21 19:08:47 UTC 2025","skipped","Fri Mar 21 19:08:48 UTC 2025","Sign Up","","",""
"","17746","Create Saved Link - User: Client-Elite-1-Existing","Chrome","Fri Mar 21 19:08:42 UTC 2025","passed","Fri Mar 21 19:09:00 UTC 2025","Type of user: Client > MW Menu: Design > Sub-menu: Website > Sub-menu: Saved Links","","",""
"","244","User Signup: Lite account type signup - Accurate Setup Pricing Displayed","Chrome","Fri Mar 21 19:08:51 UTC 2025","skipped","Fri Mar 21 19:08:51 UTC 2025","Sign Up","","",""
"","11716","Create Agent - User: Client-Platinum-1-Existing","Chrome","Fri Mar 21 19:08:03 UTC 2025","passed","Fri Mar 21 19:08:15 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Users > Sub-menu: Agents","","",""
"","303","User Signup: Elite account type signup - Accurate Setup Pricing Displayed","Chrome","Fri Mar 21 19:08:50 UTC 2025","skipped","Fri Mar 21 19:08:51 UTC 2025","Sign Up","","",""
"","303","User Signup: Free setup signup - Accurate Setup Pricing Displayed","Chrome","Fri Mar 21 19:08:48 UTC 2025","skipped","Fri Mar 21 19:08:48 UTC 2025","Sign Up","","",""
"","5356","Delete All Agents - User: Client-Elite-1-Existing","Chrome","Fri Mar 21 19:08:31 UTC 2025","passed","Fri Mar 21 19:08:36 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Users > Sub-menu: Agents","","",""
"","10888","Authenticate ClientPlatinum_1_Existing user","setup","Fri Mar 21 19:07:50 UTC 2025","passed","Fri Mar 21 19:08:01 UTC 2025","","","",""
"","4827","Create Contact - User: Client-Platinum-1-Existing","Chrome","Fri Mar 21 19:08:03 UTC 2025","passed","Fri Mar 21 19:08:08 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Contacts","","",""
"","5987","Create Lead - User: Client-Elite-1-Existing","Chrome","Fri Mar 21 19:08:41 UTC 2025","passed","Fri Mar 21 19:08:47 UTC 2025","Type of user: Client > MW Menu: Leads > Sub-menu: Create","","",""
"","295","User Signup: Developer partner code signup - Accurate Setup Pricing Displayed","Chrome","Fri Mar 21 19:08:49 UTC 2025","skipped","Fri Mar 21 19:08:50 UTC 2025","Sign Up","","",""
"","4838","Create Lead - User: Client-Platinum-1-Existing","Chrome","Fri Mar 21 19:08:36 UTC 2025","passed","Fri Mar 21 19:08:41 UTC 2025","Type of user: Client > MW Menu: Leads > Sub-menu: Create","","",""
"","10210","Authenticate ClientElite_1_Existing user","setup","Fri Mar 21 19:07:51 UTC 2025","passed","Fri Mar 21 19:08:01 UTC 2025","","","",""
"","294","User Signup: Elite account type signup Completes Successfully","Chrome","Fri Mar 21 19:08:50 UTC 2025","skipped","Fri Mar 21 19:08:50 UTC 2025","Sign Up","","",""
"","260","User Signup: Lite account type signup Completes Successfully","Chrome","Fri Mar 21 19:08:51 UTC 2025","skipped","Fri Mar 21 19:08:51 UTC 2025","Sign Up","","",""
