"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8341","Create Lead - User: Client-Elite-1-Existing","chromium","Tue Feb 25 21:30:25 UTC 2025","passed","Tue Feb 25 21:30:34 UTC 2025","Type of user: Client > MW Menu: Clients > Sub-menu: Leads","","",""
"","25564","User Signup: Hals-off signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Tue Feb 25 21:32:31 UTC 2025","failed","Tue Feb 25 21:32:56 UTC 2025","Sign Up","","",""
"","24366","User Signup: Elite account type signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Tue Feb 25 21:35:05 UTC 2025","failed","Tue Feb 25 21:35:29 UTC 2025","Sign Up","","",""
"","24144","User Signup: Lite account type signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Tue Feb 25 21:35:56 UTC 2025","failed","Tue Feb 25 21:36:20 UTC 2025","Sign Up","","",""
"","15027","Authenticate ClientElite_1_Existing user","setup","Tue Feb 25 21:30:00 UTC 2025","passed","Tue Feb 25 21:30:15 UTC 2025","","","",""
"","24237","User Signup: Godaddy partner code signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Tue Feb 25 21:34:15 UTC 2025","failed","Tue Feb 25 21:34:39 UTC 2025","Sign Up","","",""
"","24820","User Signup: Free setup signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Tue Feb 25 21:31:38 UTC 2025","failed","Tue Feb 25 21:32:03 UTC 2025","Sign Up","","",""
"","24400","User Signup: Regular signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Tue Feb 25 21:30:45 UTC 2025","failed","Tue Feb 25 21:31:10 UTC 2025","Sign Up","","",""
"","7951","Create Lead - User: Client-Platinum-1-Existing","chromium","Tue Feb 25 21:30:17 UTC 2025","passed","Tue Feb 25 21:30:25 UTC 2025","Type of user: Client > MW Menu: Clients > Sub-menu: Leads","","",""
"","15110","Authenticate ClientPlatinum_1_Existing user","setup","Tue Feb 25 21:30:00 UTC 2025","passed","Tue Feb 25 21:30:15 UTC 2025","","","",""
"","24410","User Signup: Developer partner code signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Tue Feb 25 21:33:24 UTC 2025","failed","Tue Feb 25 21:33:48 UTC 2025","Sign Up","","",""
