"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28214","User Signup: Free setup signup Completes Successfully","Chrome","Thu May 29 04:14:17 UTC 2025","passed","Thu May 29 04:14:45 UTC 2025","Sign Up","","",""
"","6740","Create New Widget - Type: virtual-showings - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:08:29 UTC 2025","passed","Thu May 29 04:08:36 UTC 2025","Create a New Widget and delete it after the test","","",""
"","3777","Save Details Settings - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:10:06 UTC 2025","passed","Thu May 29 04:10:10 UTC 2025","User: Client-Engage-1-Existing","","",""
"","3168","User Signup: Lite account type signup - Accurate Setup Pricing Displayed","Chrome","Thu May 29 04:15:51 UTC 2025","passed","Thu May 29 04:15:54 UTC 2025","Sign Up","","",""
"","4258","Delete created custom Location List - Client: Client-Engage-2-Existing","Chrome","Thu May 29 04:12:32 UTC 2025","passed","Thu May 29 04:12:36 UTC 2025","Run these tests in serial mode","","",""
"","347","Client can perform a search in Email Update Sign Up FE page and the number of results is 25 - User: Client-Elite-1-Existing","Chrome","Thu May 29 04:11:34 UTC 2025","skipped","Thu May 29 04:11:35 UTC 2025","User: Client-Elite-1-Existing","","",""
"","10383","Client creation: engage Completes Successfully","Chrome","Thu May 29 04:15:56 UTC 2025","passed","Thu May 29 04:16:06 UTC 2025","Testing with engage_signup","","",""
"","12879","Authenticate ClientElite_1_Existing user","setup","Thu May 29 04:05:50 UTC 2025","passed","Thu May 29 04:06:03 UTC 2025","","","",""
"","5620","Search by Office Name","Chrome","Thu May 29 04:16:10 UTC 2025","passed","Thu May 29 04:16:16 UTC 2025","Sub-menu: Agent/Office/Listing Search","","",""
"","8661","Create New Widget - Type: listings-carousel - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:08:31 UTC 2025","passed","Thu May 29 04:08:40 UTC 2025","Create a New Widget and delete it after the test","","",""
"","6647","User Signup: Free setup signup - Accurate Setup Pricing Displayed","Chrome","Thu May 29 04:14:17 UTC 2025","passed","Thu May 29 04:14:24 UTC 2025","Sign Up","","",""
"","12624","Set Map Refresh Behavior and Desktop Clustering in Global Settings and verify in FE page","Chrome","Thu May 29 04:10:26 UTC 2025","passed","Thu May 29 04:10:39 UTC 2025","Map Global Settings Test - User: Client-Engage-New","","",""
"","26200","User Signup: Lite account type signup Completes Successfully","Chrome","Thu May 29 04:15:30 UTC 2025","passed","Thu May 29 04:15:56 UTC 2025","Sign Up","","",""
"","16016","Create Showcase Legacy Widget with Custom Search - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:08:08 UTC 2025","passed","Thu May 29 04:08:24 UTC 2025","Create a Showcase Legacy Widget with Custom Search and delete it after the test","","",""
"","5109","User Signup: Regular signup - Accurate Setup Pricing Displayed","Chrome","Thu May 29 04:14:12 UTC 2025","passed","Thu May 29 04:14:17 UTC 2025","Sign Up","","",""
"","10268","Client can perform a search in Address Search FE page and the number of results is 25 - User: Client-Elite-1-Existing","Chrome","Thu May 29 04:11:08 UTC 2025","passed","Thu May 29 04:11:19 UTC 2025","User: Client-Elite-1-Existing","","",""
"","4721","Save Map Settings - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:10:10 UTC 2025","passed","Thu May 29 04:10:14 UTC 2025","User: Client-Engage-1-Existing","","",""
"","10465","Authenticate ClientEngage_2_Existing user","setup","Thu May 29 04:06:03 UTC 2025","passed","Thu May 29 04:06:13 UTC 2025","","","",""
"","9331","Create New Widget - Type: listings-showcase - User: Client-Elite-1-Existing","Chrome","Thu May 29 04:09:08 UTC 2025","passed","Thu May 29 04:09:18 UTC 2025","Create a New Widget and delete it after the test","","",""
"","10008","Client can perform a search in Basic Search FE page and the number of results is 25 - User: Client-Elite-1-Existing","Chrome","Thu May 29 04:11:19 UTC 2025","passed","Thu May 29 04:11:29 UTC 2025","User: Client-Elite-1-Existing","","",""
"","5925","Create Contact - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:13:08 UTC 2025","passed","Thu May 29 04:13:14 UTC 2025","Run these test in serial mode for each user","","",""
"","8662","Client can perform a search in Address Search FE page and the number of results is 25 - User: Client-Core-1-Existing","Chrome","Thu May 29 04:11:35 UTC 2025","passed","Thu May 29 04:11:43 UTC 2025","User: Client-Core-1-Existing","","",""
"","11225","Authenticate ClientEngage_1_Existing user","setup","Thu May 29 04:05:50 UTC 2025","passed","Thu May 29 04:06:02 UTC 2025","","","",""
"","9788","Disclaimer is displayed in New Widgets Preview FE page - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:13:21 UTC 2025","passed","Thu May 29 04:13:31 UTC 2025","Disclaimer Tests - User: Client-Engage-1-Existing","","",""
"","13895","Create Agent - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:12:48 UTC 2025","passed","Thu May 29 04:13:02 UTC 2025","Run these test in serial mode for each user","","",""
"","5648","Delete All Agents - User: Client-Elite-1-Existing","Chrome","Thu May 29 04:13:06 UTC 2025","passed","Thu May 29 04:13:12 UTC 2025","Run these test in serial mode for each user","","",""
"","25414","Create New Widget - Type: prime-map-search - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:09:09 UTC 2025","failed","Thu May 29 04:09:34 UTC 2025","Create a New Widget and delete it after the test","","",""
"","6371","Single Query search - Resource: Property - Class: Property - Limit 1 run first chunk","Chrome","Thu May 29 04:16:16 UTC 2025","passed","Thu May 29 04:16:22 UTC 2025","","","",""
"","31756","Create Saved Link - User: Client-Engage-1-Existing","Chrome","Thu May 29 04:07:37 UTC 2025","passed","Thu May 29 04:08:08 UTC 2025","Create Saved Link and delete it after the test","","",""
"","7158","Create New Widget - Type: listings-carousel - User: Client-Elite-1-Existing","Chrome","Thu May 29 04:09:01 UTC 2025","passed","Thu May 29 04:09:08 UTC 2025","Create a New Widget and delete it after the test","","",""
"","7237","Visual validation of the Address Search Front Page","Chrome","Thu May 29 04:13:31 UTC 2025","passed","Thu May 29 04:13:38 UTC 2025","Visual validation of the Address Search Front Page - User: Client-Engage-1-Existing","","",""
