"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29226","User Signup: Godaddy partner code signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Fri Feb 21 22:59:21 UTC 2025","passed","Fri Feb 21 22:59:50 UTC 2025","Sign Up","","",""
"","7655","Create Lead - User: Client-Platinum-1-Existing","chromium","Fri Feb 21 22:59:26 UTC 2025","passed","Fri Feb 21 22:59:33 UTC 2025","Clients > Clients > Leads","","",""
"","30182","User Signup: Lite account type signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Fri Feb 21 23:00:18 UTC 2025","passed","Fri Feb 21 23:00:49 UTC 2025","Sign Up","","",""
"","28923","User Signup: Developer partner code signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Fri Feb 21 22:58:52 UTC 2025","passed","Fri Feb 21 22:59:21 UTC 2025","Sign Up","","",""
"","12629","Authenticate ClientPlatinum_1_Existing user","setup","Fri Feb 21 22:57:06 UTC 2025","passed","Fri Feb 21 22:57:19 UTC 2025","","","",""
"","12270","Authenticate ClientElite_1_Existing user","setup","Fri Feb 21 22:57:06 UTC 2025","passed","Fri Feb 21 22:57:19 UTC 2025","","","",""
"","28371","User Signup: Free setup signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Fri Feb 21 22:57:53 UTC 2025","passed","Fri Feb 21 22:58:21 UTC 2025","Sign Up","","",""
"","30528","User Signup: Hals-off signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Fri Feb 21 22:58:21 UTC 2025","passed","Fri Feb 21 22:58:52 UTC 2025","Sign Up","","",""
"","60634","Create Lead - User: Client-Elite-1-Existing","chromium","Fri Feb 21 22:58:23 UTC 2025","broken","Fri Feb 21 22:59:24 UTC 2025","Clients > Clients > Leads","","",""
"","28271","User Signup: Elite account type signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Fri Feb 21 22:59:50 UTC 2025","passed","Fri Feb 21 23:00:18 UTC 2025","Sign Up","","",""
"","31874","User Signup: Regular signup Completes Successfully with Accurate Setup Pricing Displayed","chromium","Fri Feb 21 22:57:21 UTC 2025","passed","Fri Feb 21 22:57:53 UTC 2025","Sign Up","","",""
