"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","248","User Signup: Lite account type signup - Accurate Setup Pricing Displayed","Chrome","Tue Mar 11 18:25:08 UTC 2025","skipped","Tue Mar 11 18:25:09 UTC 2025","Sign Up","","",""
"","5336","Delete All Contacts - User: Client-Elite-1-Existing","Chrome","Tue Mar 11 18:24:46 UTC 2025","passed","Tue Mar 11 18:24:51 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Contacts","","",""
"","205","User Signup: Developer partner code signup Completes Successfully","Chrome","Tue Mar 11 18:25:07 UTC 2025","skipped","Tue Mar 11 18:25:07 UTC 2025","Sign Up","","",""
"","216","User Signup: Hals-off signup Completes Successfully","Chrome","Tue Mar 11 18:25:06 UTC 2025","skipped","Tue Mar 11 18:25:07 UTC 2025","Sign Up","","",""
"","8017","Create Lead - User: Client-Platinum-1-Existing","Chrome","Tue Mar 11 18:24:51 UTC 2025","passed","Tue Mar 11 18:24:59 UTC 2025","Type of user: Client > MW Menu: Clients > Sub-menu: Create","","",""
"","188","User Signup: Godaddy partner code signup - Accurate Setup Pricing Displayed","Chrome","Tue Mar 11 18:25:07 UTC 2025","skipped","Tue Mar 11 18:25:08 UTC 2025","Sign Up","","",""
"","222","User Signup: Elite account type signup - Accurate Setup Pricing Displayed","Chrome","Tue Mar 11 18:25:08 UTC 2025","skipped","Tue Mar 11 18:25:08 UTC 2025","Sign Up","","",""
"","13316","Create Agent - User: Client-Platinum-1-Existing","Chrome","Tue Mar 11 18:24:29 UTC 2025","passed","Tue Mar 11 18:24:43 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Users > Sub-menu: Agents","","",""
"","5308","Delete All Agents - User: Client-Elite-1-Existing","Chrome","Tue Mar 11 18:25:00 UTC 2025","passed","Tue Mar 11 18:25:06 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Users > Sub-menu: Agents","","",""
"","372","User Signup: Regular signup Completes Successfully","Chrome","Tue Mar 11 18:25:05 UTC 2025","skipped","Tue Mar 11 18:25:06 UTC 2025","Sign Up","","",""
"","11568","Authenticate ClientPlatinum_1_Existing user","setup","Tue Mar 11 18:24:16 UTC 2025","passed","Tue Mar 11 18:24:28 UTC 2025","","","",""
"","5210","Delete All Agents - User: Client-Platinum-1-Existing","Chrome","Tue Mar 11 18:24:43 UTC 2025","passed","Tue Mar 11 18:24:48 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Users > Sub-menu: Agents","","",""
"","218","User Signup: Regular signup - Accurate Setup Pricing Displayed","Chrome","Tue Mar 11 18:25:06 UTC 2025","skipped","Tue Mar 11 18:25:06 UTC 2025","Sign Up","","",""
"","5022","Delete All Contacts - User: Client-Platinum-1-Existing","Chrome","Tue Mar 11 18:24:36 UTC 2025","passed","Tue Mar 11 18:24:41 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Contacts","","",""
"","205","User Signup: Lite account type signup Completes Successfully","Chrome","Tue Mar 11 18:25:08 UTC 2025","skipped","Tue Mar 11 18:25:08 UTC 2025","Sign Up","","",""
"","6041","Create Lead - User: Client-Elite-1-Existing","Chrome","Tue Mar 11 18:24:59 UTC 2025","passed","Tue Mar 11 18:25:05 UTC 2025","Type of user: Client > MW Menu: Clients > Sub-menu: Create","","",""
"","221","User Signup: Free setup signup - Accurate Setup Pricing Displayed","Chrome","Tue Mar 11 18:25:06 UTC 2025","skipped","Tue Mar 11 18:25:06 UTC 2025","Sign Up","","",""
"","4785","Create Contact - User: Client-Elite-1-Existing","Chrome","Tue Mar 11 18:24:41 UTC 2025","passed","Tue Mar 11 18:24:46 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Contacts","","",""
"","12252","Create Agent - User: Client-Elite-1-Existing","Chrome","Tue Mar 11 18:24:48 UTC 2025","passed","Tue Mar 11 18:25:00 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Users > Sub-menu: Agents","","",""
"","214","User Signup: Godaddy partner code signup Completes Successfully","Chrome","Tue Mar 11 18:25:07 UTC 2025","skipped","Tue Mar 11 18:25:07 UTC 2025","Sign Up","","",""
"","255","User Signup: Developer partner code signup - Accurate Setup Pricing Displayed","Chrome","Tue Mar 11 18:25:07 UTC 2025","skipped","Tue Mar 11 18:25:07 UTC 2025","Sign Up","","",""
"","11535","Authenticate ClientElite_1_Existing user","setup","Tue Mar 11 18:24:16 UTC 2025","passed","Tue Mar 11 18:24:28 UTC 2025","","","",""
"","214","User Signup: Elite account type signup Completes Successfully","Chrome","Tue Mar 11 18:25:08 UTC 2025","skipped","Tue Mar 11 18:25:08 UTC 2025","Sign Up","","",""
"","280","User Signup: Hals-off signup - Accurate Setup Pricing Displayed","Chrome","Tue Mar 11 18:25:07 UTC 2025","skipped","Tue Mar 11 18:25:07 UTC 2025","Sign Up","","",""
"","233","User Signup: Free setup signup Completes Successfully","Chrome","Tue Mar 11 18:25:06 UTC 2025","skipped","Tue Mar 11 18:25:06 UTC 2025","Sign Up","","",""
"","6663","Create Contact - User: Client-Platinum-1-Existing","Chrome","Tue Mar 11 18:24:29 UTC 2025","passed","Tue Mar 11 18:24:36 UTC 2025","Type of user: Client > MW Menu: Account > Sub-menu: Contacts","","",""
