"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2923","Search by Agent ID","Chrome","Thu Jun 05 20:45:14 UTC 2025","passed","Thu Jun 05 20:45:17 UTC 2025","Sub-menu: Agent/Office/Listing Search","","",""
"","9466","Client can perform a search in Listing ID Search FE page and the number of results is 25 - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:58 UTC 2025","passed","Thu Jun 05 20:44:07 UTC 2025","User: Client-Engage-1-Existing","","",""
"","2446","User Signup: Free setup signup - Accurate Setup Pricing Displayed","Chrome","Thu Jun 05 20:44:48 UTC 2025","passed","Thu Jun 05 20:44:51 UTC 2025","Sign Up","","",""
"","4551","Create New Widget - Type: ai-smart-search - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:29 UTC 2025","passed","Thu Jun 05 20:43:33 UTC 2025","Create a New Widget and delete it after the test","","",""
"","9693","Create Agent - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:44:55 UTC 2025","passed","Thu Jun 05 20:45:05 UTC 2025","Run these test in serial mode for each user","","",""
"","21562","Single Query search - Resource: Property - Class: Property - Limit 1 run first chunk","Chrome","Thu Jun 05 20:45:44 UTC 2025","failed","Thu Jun 05 20:46:05 UTC 2025","","","",""
"","15792","Disclaimer is displayed in Advanced Search FE page and Details Listing FE page - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:44:35 UTC 2025","passed","Thu Jun 05 20:44:51 UTC 2025","Disclaimer Tests - User: Client-Engage-1-Existing","","",""
"","6104","Should edit MLS core field and verify it displays on front-end details page - User: Client-Engage-New","Chrome","Thu Jun 05 20:44:14 UTC 2025","passed","Thu Jun 05 20:44:20 UTC 2025","MLS Core Fields Settings Test - User: Client-Engage-New","","",""
"","5870","Client can perform a search in Advanced Search FE page and the number of results is 25 - User: Client-Core-1-Existing","Chrome","Thu Jun 05 20:44:08 UTC 2025","passed","Thu Jun 05 20:44:14 UTC 2025","User: Client-Core-1-Existing","","",""
"","6157","Client can perform a search in Advanced Search FE page and the number of results is 25 - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:44:04 UTC 2025","passed","Thu Jun 05 20:44:10 UTC 2025","User: Client-Elite-1-Existing","","",""
"","287","Client can perform a search in Email Update Sign Up FE page and the number of results is 25 - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:44:03 UTC 2025","skipped","Thu Jun 05 20:44:03 UTC 2025","User: Client-Engage-1-Existing","","",""
"","8655","Set Map, Great Schools and Walk Score in Details Global Settings and verify in FE page - User: Client-Engage-New","Chrome","Thu Jun 05 20:43:46 UTC 2025","passed","Thu Jun 05 20:43:55 UTC 2025","Details Global Settings Test - User: Client-Engage-New","","",""
"","7766","Client can Upgrade and Downgrade multi user level - User: Client-Engage-New","Chrome","Thu Jun 05 20:44:22 UTC 2025","passed","Thu Jun 05 20:44:29 UTC 2025","User: Client-Engage-New","","",""
"","4150","Search by Agent Name","Chrome","Thu Jun 05 20:45:13 UTC 2025","passed","Thu Jun 05 20:45:17 UTC 2025","Sub-menu: Agent/Office/Listing Search","","",""
"","17347","Should update MLS Custom Display name and verify it on front-end search page - User: Client-Engage-2-Existing","Chrome","Thu Jun 05 20:44:14 UTC 2025","passed","Thu Jun 05 20:44:32 UTC 2025","MLS Global Settings Test - User: Client-Engage-2-Existing","","",""
"","3499","Save Details Settings - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:49 UTC 2025","passed","Thu Jun 05 20:43:53 UTC 2025","User: Client-Engage-1-Existing","","",""
"","14766","Create Saved Link - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:43:25 UTC 2025","passed","Thu Jun 05 20:43:39 UTC 2025","Create Saved Link and delete it after the test","","",""
"","3303","Delete created Search Page - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:21 UTC 2025","passed","Thu Jun 05 20:43:25 UTC 2025","Run these tests in serial for each client","","",""
"","12160","Create Agent - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:44:28 UTC 2025","passed","Thu Jun 05 20:44:40 UTC 2025","Run these test in serial mode for each user","","",""
"","8966","Create New Widget - Type: prime-map-search - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:39 UTC 2025","passed","Thu Jun 05 20:43:48 UTC 2025","Create a New Widget and delete it after the test","","",""
"","3201","Save Mobile Settings - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:54 UTC 2025","passed","Thu Jun 05 20:43:57 UTC 2025","User: Client-Engage-1-Existing","","",""
"","5084","Create New Widget - Type: listings-carousel - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:43:44 UTC 2025","passed","Thu Jun 05 20:43:49 UTC 2025","Create a New Widget and delete it after the test","","",""
"","20780","User Signup: Hals-off signup Completes Successfully","Chrome","Thu Jun 05 20:44:50 UTC 2025","passed","Thu Jun 05 20:45:10 UTC 2025","Sign Up","","",""
"","7082","Create New Widget - Type: market-report - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:43:39 UTC 2025","passed","Thu Jun 05 20:43:46 UTC 2025","Create a New Widget and delete it after the test","","",""
"","12306","Disable Request Registration at page level and validate it on the FE page - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:27 UTC 2025","passed","Thu Jun 05 20:43:39 UTC 2025","Run these tests in serial for each client","","",""
"","5617","Create New Widget - Type: listings-carousel - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:39 UTC 2025","passed","Thu Jun 05 20:43:44 UTC 2025","Create a New Widget and delete it after the test","","",""
"","6064","Create New Widget - Type: virtual-showings - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:43:40 UTC 2025","passed","Thu Jun 05 20:43:46 UTC 2025","Create a New Widget and delete it after the test","","",""
"","19120","User Signup: Elite account type signup Completes Successfully","Chrome","Thu Jun 05 20:45:08 UTC 2025","passed","Thu Jun 05 20:45:27 UTC 2025","Sign Up","","",""
"","3603","Delete All Contacts - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:44:36 UTC 2025","passed","Thu Jun 05 20:44:40 UTC 2025","Run these test in serial mode for each user","","",""
"","12647","Uncheck property types and verify they are not present on front-end search page - User: Client-Engage-New","Chrome","Thu Jun 05 20:44:36 UTC 2025","passed","Thu Jun 05 20:44:48 UTC 2025","MLS Property Type Settings Test - User: Client-Engage-New","","",""
"","3631","Save Social Settings - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:54 UTC 2025","passed","Thu Jun 05 20:43:57 UTC 2025","User: Client-Engage-1-Existing","","",""
"","18131","User Signup: Lite account type signup Completes Successfully","Chrome","Thu Jun 05 20:45:10 UTC 2025","passed","Thu Jun 05 20:45:29 UTC 2025","Sign Up","","",""
"","9891","Client can perform a search in Basic Search FE page and the number of results is 25 - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:57 UTC 2025","passed","Thu Jun 05 20:44:07 UTC 2025","User: Client-Engage-1-Existing","","",""
"","10286","Authenticate ClientEngage_1_Existing user","setup","Thu Jun 05 20:42:57 UTC 2025","passed","Thu Jun 05 20:43:07 UTC 2025","","","",""
"","7272","Create Supplemental Listing - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:10 UTC 2025","passed","Thu Jun 05 20:43:17 UTC 2025","Create a new supplemental listing and then delete it for each user","","",""
"","331","Client can perform a search in Email Update Sign Up FE page and the number of results is 25 - User: Client-Core-1-Existing","Chrome","Thu Jun 05 20:44:12 UTC 2025","skipped","Thu Jun 05 20:44:13 UTC 2025","User: Client-Core-1-Existing","","",""
"","18025","User Signup: Godaddy partner code signup Completes Successfully","Chrome","Thu Jun 05 20:44:56 UTC 2025","passed","Thu Jun 05 20:45:14 UTC 2025","Sign Up","","",""
"","2614","User Signup: Lite account type signup - Accurate Setup Pricing Displayed","Chrome","Thu Jun 05 20:45:11 UTC 2025","passed","Thu Jun 05 20:45:13 UTC 2025","Sign Up","","",""
"","3762","New client has API key and can make API requests - User: Client-Engage-New","Chrome","Thu Jun 05 20:43:10 UTC 2025","passed","Thu Jun 05 20:43:14 UTC 2025","User: Client-Engage-New","","",""
"","4293","Client can perform a search in Map Search FE page and the number of results is 100 - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:44:05 UTC 2025","passed","Thu Jun 05 20:44:09 UTC 2025","User: Client-Elite-1-Existing","","",""
"","8651","Global Settings - Email - Change email subject, send preview and verify in Message Center - User: Client-Engage-New","Chrome","Thu Jun 05 20:43:46 UTC 2025","passed","Thu Jun 05 20:43:55 UTC 2025","Email Global Settings Test - User: Client-Engage-New","","",""
"","20102","User Signup: Free setup signup Completes Successfully","Chrome","Thu Jun 05 20:44:48 UTC 2025","passed","Thu Jun 05 20:45:08 UTC 2025","Sign Up","","",""
"","5922","Client can perform a search in Basic Search FE page and the number of results is 25 - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:44:04 UTC 2025","passed","Thu Jun 05 20:44:10 UTC 2025","User: Client-Elite-1-Existing","","",""
"","16198","Create custom city Location List and Verify City default selected list in Search Pages Preferences - Client: Client-Engage-2-Existing","Chrome","Thu Jun 05 20:44:14 UTC 2025","passed","Thu Jun 05 20:44:30 UTC 2025","Run these tests in serial mode","","",""
"","12392","Authenticate ClientEngage_2_Existing user","setup","Thu Jun 05 20:42:30 UTC 2025","passed","Thu Jun 05 20:42:43 UTC 2025","","","",""
"","5821","Client can perform a search in Listing ID Search FE page and the number of results is 25 - User: Client-Core-1-Existing","Chrome","Thu Jun 05 20:44:10 UTC 2025","passed","Thu Jun 05 20:44:16 UTC 2025","User: Client-Core-1-Existing","","",""
"","22260","Create a new client","setup","Thu Jun 05 20:42:40 UTC 2025","passed","Thu Jun 05 20:43:02 UTC 2025","Authenticate SuperUser user and create a new client","","",""
"","19801","User Signup: Developer partner code signup Completes Successfully","Chrome","Thu Jun 05 20:44:51 UTC 2025","passed","Thu Jun 05 20:45:11 UTC 2025","Sign Up","","",""
"","5085","Client can perform a search in Address Search FE page and the number of results is 25 - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:44:03 UTC 2025","passed","Thu Jun 05 20:44:08 UTC 2025","User: Client-Elite-1-Existing","","",""
"","3078","Delete All Agents - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:45:05 UTC 2025","passed","Thu Jun 05 20:45:08 UTC 2025","Run these test in serial mode for each user","","",""
"","7989","Should edit MLS advanced field and verify it displays on front-end details page - User: Client-Engage-New","Chrome","Thu Jun 05 20:44:20 UTC 2025","passed","Thu Jun 05 20:44:28 UTC 2025","MLS Core Fields Settings Test - User: Client-Engage-New","","",""
"","8854","Client can perform a search in Advanced Search FE page and the number of results is 25 - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:56 UTC 2025","passed","Thu Jun 05 20:44:05 UTC 2025","User: Client-Engage-1-Existing","","",""
"","8426","Client can perform a search in Address Search FE page and the number of results is 25 - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:55 UTC 2025","passed","Thu Jun 05 20:44:04 UTC 2025","User: Client-Engage-1-Existing","","",""
"","3366","Delete All Contacts - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:44:34 UTC 2025","passed","Thu Jun 05 20:44:37 UTC 2025","Run these test in serial mode for each user","","",""
"","8926","Client can modify and save branding colors. Branding colors are displayed as expected in FE search page - Client: Client-Engage-New","Chrome","Thu Jun 05 20:43:14 UTC 2025","passed","Thu Jun 05 20:43:23 UTC 2025","Branding Colors Test - Client-Engage-New","","",""
"","3090","Save Email Settings - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:53 UTC 2025","passed","Thu Jun 05 20:43:56 UTC 2025","User: Client-Engage-1-Existing","","",""
"","3903","Create New Widget - Type: virtual-showings - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:36 UTC 2025","passed","Thu Jun 05 20:43:40 UTC 2025","Create a New Widget and delete it after the test","","",""
"","16013","Create Lead - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:10 UTC 2025","passed","Thu Jun 05 20:43:26 UTC 2025","Sub-menu: Create","","",""
"","5820","Visual validation of the Address Search Front Page","Chrome","Thu Jun 05 20:44:40 UTC 2025","passed","Thu Jun 05 20:44:46 UTC 2025","Visual validation of the Address Search Front Page - User: Client-Engage-1-Existing","","",""
"","12098","Create Showcase Legacy Widget with Custom Search - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:43:27 UTC 2025","passed","Thu Jun 05 20:43:39 UTC 2025","Create a Showcase Legacy Widget with Custom Search and delete it after the test","","",""
"","246","Client can perform a search in Email Update Sign Up FE page and the number of results is 25 - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:44:07 UTC 2025","skipped","Thu Jun 05 20:44:08 UTC 2025","User: Client-Elite-1-Existing","","",""
"","3842","Delete All Agents - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:44:40 UTC 2025","passed","Thu Jun 05 20:44:44 UTC 2025","Run these test in serial mode for each user","","",""
"","7320","Create New Widget - Type: listings-showcase - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:39 UTC 2025","passed","Thu Jun 05 20:43:46 UTC 2025","Create a New Widget and delete it after the test","","",""
"","2733","User Signup: Elite account type signup - Accurate Setup Pricing Displayed","Chrome","Thu Jun 05 20:45:08 UTC 2025","passed","Thu Jun 05 20:45:11 UTC 2025","Sign Up","","",""
"","4692","Delete created custom Location List - Client: Client-Engage-2-Existing","Chrome","Thu Jun 05 20:44:31 UTC 2025","passed","Thu Jun 05 20:44:35 UTC 2025","Run these tests in serial mode","","",""
"","16819","Create Lead - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:43:10 UTC 2025","passed","Thu Jun 05 20:43:27 UTC 2025","Sub-menu: Create","","",""
"","309","Edit County List, Verify in FE, and Revert - Client: Client-Engage-2-Existing","Chrome","Thu Jun 05 20:44:30 UTC 2025","skipped","Thu Jun 05 20:44:31 UTC 2025","Run these tests in serial mode","","",""
"","4567","Client can perform a search in Address Search FE page and the number of results is 25 - User: Client-Core-1-Existing","Chrome","Thu Jun 05 20:44:08 UTC 2025","passed","Thu Jun 05 20:44:12 UTC 2025","User: Client-Core-1-Existing","","",""
"","3345","Save Your Properties Settings - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:52 UTC 2025","passed","Thu Jun 05 20:43:55 UTC 2025","User: Client-Engage-1-Existing","","",""
"","13063","Create Showcase Legacy Widget with Custom Search - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:26 UTC 2025","passed","Thu Jun 05 20:43:39 UTC 2025","Create a Showcase Legacy Widget with Custom Search and delete it after the test","","",""
"","9626","Enable Request Registration at page level and validate it on the FE page - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:17 UTC 2025","passed","Thu Jun 05 20:43:27 UTC 2025","Run these tests in serial for each client","","",""
"","7563","Set Map Refresh Behavior and Desktop Clustering in Global Settings and verify in FE page","Chrome","Thu Jun 05 20:43:55 UTC 2025","passed","Thu Jun 05 20:44:03 UTC 2025","Map Global Settings Test - User: Client-Engage-New","","",""
"","11797","Authenticate ClientCore_1_Existing user","setup","Thu Jun 05 20:42:30 UTC 2025","passed","Thu Jun 05 20:42:42 UTC 2025","","","",""
"","2182","User Signup: Developer partner code signup - Accurate Setup Pricing Displayed","Chrome","Thu Jun 05 20:44:54 UTC 2025","passed","Thu Jun 05 20:44:56 UTC 2025","Sign Up","","",""
"","5298","Client can perform a search in Basic Search FE page and the number of results is 25 - User: Client-Core-1-Existing","Chrome","Thu Jun 05 20:44:09 UTC 2025","passed","Thu Jun 05 20:44:14 UTC 2025","User: Client-Core-1-Existing","","",""
"","2937","Save Other Settings - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:55 UTC 2025","passed","Thu Jun 05 20:43:58 UTC 2025","User: Client-Engage-1-Existing","","",""
"","7146","Create Supplemental Listing - User: Client-Elite-1-Existing","Chrome","Thu Jun 05 20:43:10 UTC 2025","passed","Thu Jun 05 20:43:17 UTC 2025","Create a new supplemental listing and then delete it for each user","","",""
"","3861","Verifiy the default property types for a new user - User: Client-Engage-New","Chrome","Thu Jun 05 20:44:32 UTC 2025","passed","Thu Jun 05 20:44:36 UTC 2025","MLS Property Type Settings Test - User: Client-Engage-New","","",""
"","5466","Search by Office Name","Chrome","Thu Jun 05 20:45:17 UTC 2025","passed","Thu Jun 05 20:45:22 UTC 2025","Sub-menu: Agent/Office/Listing Search","","",""
"","2828","User Signup: Hals-off signup - Accurate Setup Pricing Displayed","Chrome","Thu Jun 05 20:44:51 UTC 2025","passed","Thu Jun 05 20:44:54 UTC 2025","Sign Up","","",""
"","5009","Configure all Your Properties in Global Settings and verify they are saved - User: Client-Engage-New","Chrome","Thu Jun 05 20:44:13 UTC 2025","passed","Thu Jun 05 20:44:18 UTC 2025","Your Properties Global Settings Test - User: Client-Engage-New","","",""
"","4234","Create Contact - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:44:29 UTC 2025","passed","Thu Jun 05 20:44:34 UTC 2025","Run these test in serial mode for each user","","",""
"","3054","Save Map Settings - User: Client-Engage-1-Existing","Chrome","Thu Jun 05 20:43:50 UTC 2025","passed","Thu Jun 05 20:43:54 UTC 2025","User: Client-Engage-1-Existing","","",""
